Package;File;Feature;Technology;No. indicators found;Indicator Type;Confidence
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
src.main.java.org.broadleafcommerce.common.util.tenant;IdentityExecutionUtils.java;DataSource;Java SQL;3;->;0.800000
;;;;;Importing;0.300000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
src.main.java.org.broadleafcommerce.common.util.tenant;IdentityExecutionUtils.java;EntityManagerFactory;JPA;4;->;0.833333
;;;;;Importing;0.300000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
src.main.java.org.broadleafcommerce.common.util;BLCFieldUtils.java;SessionFactory;Hibernate;4;->;0.833333
;;;;;Importing;0.300000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
src.main.java.org.broadleafcommerce.common.util;OptimisticLockUtils.java;EntityManager;JPA;4;->;0.833333
;;;;;TypeUsage;0.900000
;;;;;Importing;0.300000
;;;;;TypeUsage;0.900000
src.main.java.org.broadleafcommerce.common.util;TransactionUtils.java;Session;Hibernate;3;->;0.800000
;;;;;TypeUsage;0.900000
;;;;;Importing;0.300000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
src.main.java.org.broadleafcommerce.common.util;TransactionUtils.java;EntityManager;JPA;6;->;0.866667
;;;;;TypeUsage;0.900000
;;;;;Importing;0.300000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
src.main.java.org.broadleafcommerce.common.util;UpdateExecutor.java;Session;Hibernate;11;->;0.896970
;;;;;Importing;0.300000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
src.main.java.org.broadleafcommerce.common.util;UpdateExecutor.java;EntityManager;JPA;6;->;0.866667
;;;;;TypeUsage;0.900000
;;;;;Importing;0.300000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
src.main.java.org.broadleafcommerce.common.util;DialectHelper.java;Session;Hibernate;4;->;0.833333
;;;;;Importing;0.300000
;;;;;Annotation;0.900000
