Package,File,Feature,Technology,Confidence,,
main.java.org.broadleafcommerce.common.util,DialectHelper.java,Support MySQL,Hibernate,0.29999998,Y,
main.java.org.broadleafcommerce.common.file.service,BroadleafFileService.java,JDBC Work,Hibernate,0.46666652,N,
main.java.org.broadleafcommerce.common.file.service,BroadleafFileServiceImpl.java,JDBC Work,Hibernate,0.46666655,N,
main.java.org.broadleafcommerce.common.web,BroadleafLocaleResolverImpl.java,Session,Hibernate,0.46666664,N,
main.java.org.broadleafcommerce.common.file.service,FileServiceProvider.java,JDBC Work,Hibernate,0.46666664,N,
main.java.org.broadleafcommerce.common.resource.service,ResourceBundlingServiceImpl.java,JDBC Work,Hibernate,0.46666664,N,
main.java.org.broadleafcommerce.common.sitemap.service,SiteMapBuilder.java,JDBC Work,Hibernate,0.46666664,N,
main.java.org.broadleafcommerce.common.web.filter,StatelessSessionFilter.java,Session,Hibernate,0.46666664,N,
main.java.org.broadleafcommerce.common.vendor.service,AbstractVendorService.java,Establishing direct Database Connection,Java SQL,0.46666667,N,
main.java.org.broadleafcommerce.common.util,BLCCollectionUtils.java,JDBC Work,Hibernate,0.46666667,N,
main.java.org.broadleafcommerce.common.util,BLCFieldUtils.java,Session,Hibernate,0.46666667,N,
main.java.org.broadleafcommerce.common.web.resource.resolver,BLCJSResourceResolver.java,JDBC Work,Hibernate,0.46666667,N,
main.java.org.broadleafcommerce.common.util,BLCRequestUtils.java,Session,Hibernate,0.46666667,N,
main.java.org.broadleafcommerce.common.event,BroadleafApplicationListener.java,JDBC Work,Hibernate,0.46666667,N,
main.java.org.broadleafcommerce.common.web.resource,BroadleafContextUtil.java,Session,Hibernate,0.46666667,N,
main.java.org.broadleafcommerce.common.web,BroadleafCurrencyResolverImpl.java,Session,Hibernate,0.46666667,N,
test.java.org.broadleafcommerce.common.file.service,BroadleafFileServiceImplTest.java,JDBC Work,Hibernate,0.46666667,N,
main.java.org.broadleafcommerce.common.web.controller,BroadleafRedirectController.java,Session,Hibernate,0.46666667,N,
main.java.org.broadleafcommerce.common.web,BroadleafRequestProcessor.java,Session,Hibernate,0.46666667,N,
main.java.org.broadleafcommerce.common.web,BroadleafSandBoxResolverImpl.java,Session,Hibernate,0.46666667,N,
main.java.org.broadleafcommerce.common.web,BroadleafTimeZoneResolverImpl.java,Session,Hibernate,0.46666667,N,
main.java.org.broadleafcommerce.common.site.domain,CatalogImpl.java,Cascade persist operation,JPA,0.46666667,Y,
main.java.org.broadleafcommerce.common.site.domain,CatalogImpl.java,Cascade merge operation,JPA,0.46666667,Y,
main.java.org.broadleafcommerce.common.util,DialectHelper.java,SessionFactory,Hibernate,0.46666667,N,
main.java.org.broadleafcommerce.common.util.dao,EJB3ConfigurationDaoImpl.java,SessionFactory,Hibernate,0.46666667,N,
main.java.org.broadleafcommerce.common.util.dao,EJB3ConfigurationDaoImpl.java,Session,Hibernate,0.46666667,N,
main.java.org.broadleafcommerce.common.web.filter,EstablishSessionFilter.java,Session,Hibernate,0.46666667,N,
main.java.org.broadleafcommerce.common.exception,ExceptionHelper.java,JDBC Work,Hibernate,0.46666667,N,
main.java.org.broadleafcommerce.common.security.service,ExploitProtectionServiceImpl.java,Establishing direct Database Connection,Java SQL,0.46666667,N,
main.java.org.broadleafcommerce.common.security.service,ExploitProtectionServiceImpl.java,Session,Hibernate,0.46666667,N,
main.java.org.broadleafcommerce.common.file.service,FileSystemFileServiceProvider.java,JDBC Work,Hibernate,0.46666667,N,
main.java.org.broadleafcommerce.common.file.domain,FileWorkArea.java,JDBC Work,Hibernate,0.46666667,N,
main.java.org.broadleafcommerce.common.dao,GenericEntityDaoImpl.java,SessionFactory,Hibernate,0.46666667,N,
main.java.org.broadleafcommerce.common.util.tenant,IdentityExecutionUtils.java,EntityManager,JPA,0.46666667,N,
main.java.org.broadleafcommerce.common.util.tenant,IdentityExecutionUtils.java,Session,Hibernate,0.46666667,N,
main.java.org.broadleafcommerce.common.persistence,IdOverrideTableGenerator.java,Session,Hibernate,0.46666667,N,
main.java.org.broadleafcommerce.common.email.service.jms,JMSEmailServiceProducerImpl.java,Session,Hibernate,0.46666667,N,
main.java.org.broadleafcommerce.common.extensibility.context.merge,LateStageMergeBeanPostProcessor.java,EntityManager,JPA,0.46666667,N,
main.java.org.broadleafcommerce.common.extensibility.context.merge,LateStageRemoveBeanPostProcessor.java,EntityManager,JPA,0.46666667,N,
main.java.org.broadleafcommerce.common.extensibility.jpa,MergePersistenceUnitManager.java,Session,Hibernate,0.46666667,N,
main.java.org.broadleafcommerce.common.email.service.message,MessageCreator.java,DataSource,Java SQL,0.46666667,N,
main.java.org.broadleafcommerce.common.payment.service,PaymentGatewayTransactionConfirmationService.java,JDBC Work,Hibernate,0.46666667,N,
main.java.org.broadleafcommerce.common.logging,ProcessDetailLogger.java,JDBC Work,Hibernate,0.46666667,N,
main.java.org.broadleafcommerce.common.util,ReflectiveWorkOnChange.java,JDBC Work,Hibernate,0.46666667,N,
main.java.org.broadleafcommerce.common.web.util,RepeatSubmitProtectionFilter.java,Session,Hibernate,0.46666667,N,
main.java.org.broadleafcommerce.common.web.processor,ResourceBundleProcessor.java,JDBC Work,Hibernate,0.46666667,N,
