Package,File,Feature,Technology,Confidence,Used
bs.base.client.swt.src.org.plazmaforge.bsolution.contact.client.swt.forms,AddressEditForm.java,DataSource,Java SQL,0.46666667,N
bs.base.client.swt.src.org.plazmaforge.bsolution.contact.client.swt.forms,WebEditForm.java,DataSource,Java SQL,0.46666667,N
bs.base.client.swt.src.org.plazmaforge.bsolution.pim.client.swt.forms,PIMCalendarForm.java,Session,Hibernate,0.46666667,N
bs.base.client.swt.src.org.plazmaforge.bsolution.pim.client.swt.forms,PIMCalendarForm.java,DataSource,Java SQL,0.46666667,N
bs.base.client.swt.src.org.plazmaforge.bsolution.pim.client.swt.forms,PIMReminderEditForm.java,Session,Hibernate,0.46666667,N
bs.base.client.swt.src.org.plazmaforge.bsolution.pim.client.swt.forms,PIMNoteEditForm.java,Session,Hibernate,0.46666667,N
bs.base.client.swt.src.org.plazmaforge.bsolution.bank.client.swt.forms,AbstractPaymentDocumentEditForm.java,Session,Hibernate,0.46666667,N
bs.base.client.swt.src.org.plazmaforge.bsolution.bank.client.swt.forms.common,BankAccountReportDialog.java,Session,Hibernate,0.46666667,N
bs.base.client.swt.src.org.plazmaforge.bsolution.product.client.swt.forms,ProductInstanceEditForm.java,DataSource,Java SQL,0.46666667,N
bs.base.client.swt.src.org.plazmaforge.bsolution.product.client.swt.forms,ProductUnitEditForm.java,DataSource,Java SQL,0.46666667,N
bs.base.client.swt.src.org.plazmaforge.bsolution.product.client.swt.forms,ProductPriceEditForm.java,DataSource,Java SQL,0.46666667,N
bs.base.client.swt.src.org.plazmaforge.bsolution.document.client.swt.forms,AbstractDocumentEditForm.java,Session,Hibernate,0.46666667,N
bs.base.client.swt.src.org.plazmaforge.bsolution.partner.client.swt.forms,PartnerBankAccountEditForm.java,DataSource,Java SQL,0.46666667,N
bs.base.client.swt.src.org.plazmaforge.bsolution.partner.client.swt.forms,PartnerActivityTypeLinkEditForm.java,DataSource,Java SQL,0.46666667,N
bs.base.client.swt.src.org.plazmaforge.bsolution.partner.client.swt.forms,PartnerListForm.java,Session,Hibernate,0.46666667,N
bs.base.client.swt.src.org.plazmaforge.bsolution.partner.client.swt.forms,PartnerRepresentativeEditForm.java,DataSource,Java SQL,0.46666667,N
bs.base.client.swt.src.org.plazmaforge.bsolution.partner.client.swt.forms,PartnerCategoryLinkEditForm.java,DataSource,Java SQL,0.46666667,N
bs.base.client.swt.src.org.plazmaforge.bsolution.goods.client.swt.forms,AbstractGoodsDocumentItemEditForm.java,DataSource,Java SQL,0.46666667,N
bs.base.client.swt.src.org.plazmaforge.bsolution.finance.client.swt.acceptors,messages.properties,JDBC Work,Hibernate,0.46666667,N
bs.base.client.swt.src.org.plazmaforge.bsolution.finance.client.swt.acceptors,messages_ru.properties,JDBC Work,Hibernate,0.46666667,N
bs.base.client.swt.src.org.plazmaforge.bsolution.finance.client.swt.acceptors,PensionReport26Dialog.java,JDBC Work,Hibernate,0.46666667,N
bs.base.client.swt.src.org.plazmaforge.bsolution.finance.client.swt.forms,PartnerRestEditForm.java,Session,Hibernate,0.46666667,N
bs.base.client.swt.src.org.plazmaforge.bsolution.finance.client.swt.forms,LedgerAccountRestEditForm.java,Session,Hibernate,0.46666667,N
bs.base.client.swt.src.org.plazmaforge.bsolution.finance.client.swt.forms,TemplateEntryItemEditForm.java,DataSource,Java SQL,0.46666667,N
bs.base.client.swt.src.org.plazmaforge.bsolution.finance.client.swt.forms,AbstractFinanceDocumentEditForm.java,Session,Hibernate,0.46666667,N
